name,id,year,genre,mode
Luciano,lu,2022,rap,1
Beautiful Girl,bg,2022,rap,2
Sean Kingston,sk,2007,rap,1
Beautiful Girls,bgs,2007,rap,2
Ben E. King,bek,1961,blues,1
Stand by me,sbm,1961,blues,2
Elton John und Dua Lipa,ejdl,2021,pop,1
Cold Heart,ch,2021,pop,2
Elton John,ej,1972,pop,1
Rocket Man,rm,1972,pop,2
Sacrifice,sf,1989,pop,2
Kiss the Bride,ktb,1983,pop,2
Where´s the Shoorah?,wts,1976,pop,2
Chicken Lips,cl,2000,electronic,1
He not In,hni,2000,electronic,2
DJ Antoine featuring TheBeatShakers,dja,2012,electronic,1
Ma Cherie2,mc,2012,electronic,2
Alberto festuring The BeatShakers,alb,2008,electronic,1
Ma Cherie1,mac,2008,electronic,2
